prefix_length,p_unsafe,n_trajectories,ci_lower,ci_upper
1,0.5,36,0.34474067624730526,0.6552593237526947
2,0.5,34,0.34069062628048985,0.6593093737195102
3,0.5151515151515151,33,0.3521810458621024,0.6749621835307578
4,0.5,32,0.33630614316859386,0.6636938568314061
5,0.4482758620689655,29,0.2841291114874579,0.6245233293193238
6,0.46153846153846156,26,0.28755582695234905,0.6454236379556988
7,0.43478260869565216,23,0.25634368332198654,0.6318895069498304
8,0.42857142857142855,21,0.24469699486521046,0.6345378370296754
9,0.3888888888888889,18,0.20304991926931162,0.6138133141934384
10,0.4117647058823529,17,0.21610786039131383,0.6399492561448447
11,0.375,16,0.18480982554752806,0.613593529020652
12,0.4,15,0.19824228082594664,0.642535572434923
13,0.38461538461538464,13,0.17709446581236818,0.6447751902773146
14,0.4,10,0.16817758120350967,0.6873304525498135
15,0.4,10,0.16817758120350967,0.6873304525498135
16,0.4,10,0.16817758120350967,0.6873304525498135
17,0.4444444444444444,9,0.188775429471914,0.7333526542559703
18,0.4444444444444444,9,0.188775429471914,0.7333526542559703
19,0.4444444444444444,9,0.188775429471914,0.7333526542559703
20,0.375,8,0.13684175946152105,0.6942621454161981
21,0.375,8,0.13684175946152105,0.6942621454161981
22,0.375,8,0.13684175946152105,0.6942621454161981
23,0.2857142857142857,7,0.0822171657090155,0.6410709098517873
24,0.2857142857142857,7,0.0822171657090155,0.6410709098517873
25,0.2857142857142857,7,0.0822171657090155,0.6410709098517873
26,0.2857142857142857,7,0.0822171657090155,0.6410709098517873
27,0.4,5,0.1176182311592533,0.769280067791163
28,0.4,5,0.1176182311592533,0.769280067791163
29,0.4,5,0.1176182311592533,0.769280067791163
30,0.4,5,0.1176182311592533,0.769280067791163
31,0.4,5,0.1176182311592533,0.769280067791163
32,0.4,5,0.1176182311592533,0.769280067791163
33,0.6666666666666666,3,0.2076549551264879,0.9385096847238394
34,0.6666666666666666,3,0.2076549551264879,0.9385096847238394
35,0.6666666666666666,3,0.2076549551264879,0.9385096847238394
36,0.6666666666666666,3,0.2076549551264879,0.9385096847238394
37,1.0,2,0.34237195288961925,1.0
38,1.0,2,0.34237195288961925,1.0
39,1.0,2,0.34237195288961925,1.0
40,1.0,2,0.34237195288961925,1.0
41,1.0,1,0.20654329147389294,1.0
42,1.0,1,0.20654329147389294,1.0
43,1.0,1,0.20654329147389294,1.0
44,1.0,1,0.20654329147389294,1.0
45,1.0,1,0.20654329147389294,1.0
46,1.0,1,0.20654329147389294,1.0
47,1.0,1,0.20654329147389294,1.0
48,1.0,1,0.20654329147389294,1.0
49,1.0,1,0.20654329147389294,1.0
50,1.0,1,0.20654329147389294,1.0
51,1.0,1,0.20654329147389294,1.0
52,1.0,1,0.20654329147389294,1.0
53,1.0,1,0.20654329147389294,1.0
54,1.0,1,0.20654329147389294,1.0
